Mês/Ano,Razão Social,CNPJ,Região,Estado,Município,Capacidade Produção Etanol Anidro (m³/d),Capacidade Produção Etanol Hidratado (m³/d)
09/2024,JALLES MACHADO S.A.,02635522000195,CENTRO OESTE,Goiás,GOIANESIA,800,860
09/2024,JALLES MACHADO S.A.,02635522004930,CENTRO OESTE,Goiás,GOIANESIA,0,900
09/2024,USINA SANTA HELENA DE ACUCAR E ALCOOL S/A - EM RECUPERACAO JUDICIAL,02673754000219,CENTRO OESTE,Goiás,SANTA HELENA DE GOIAS,280,340
09/2024,LASA LAGO AZUL SA,02678100000105,CENTRO OESTE,Goiás,IPAMERI,0,350
09/2024,GOIASA GOIATUBA ALCOOL LTDA,02773950000184,CENTRO OESTE,Goiás,GOIATUBA,300,800
09/2024,ANICUNS S A ALCOOL E DERIVADOS EM RECUPERACAO JUDICIAL,02783009000141,CENTRO OESTE,Goiás,ANICUNS,150,450
09/2024,VALE DO VERDAO SOCIEDADE ANONIMA ACUCAR E ALCOOL,02859452000230,CENTRO OESTE,Goiás,TURVELANDIA,850,1280
09/2024,CENTROALCOOL S/A (EM RECUPERACAO JUDICIAL),02896264000109,CENTRO OESTE,Goiás,INHUMAS,150,500
09/2024,JUNCO NOVO LTDA,02963399000131,NORDESTE,Sergipe,CAPELA,0,68
09/2024,COOPERATIVA AGROINDUSTRIAL NOVA PRODUTIVA,03345641000338,SUL,Paraná,ASTORGA,300,600
09/2024,RUBIATABA INDUSTRIAL S/A,03347747000109,CENTRO OESTE,Goiás,RUBIATABA,260,800
09/2024,RUBIATABA INDUSTRIAL S/A,03347747000370,CENTRO OESTE,Goiás,URUACU,0,500
09/2024,UMOE BIOENERGY S.A.,03445208000455,SUDESTE,São Paulo,SANDOVALINA,700,1300
09/2024,CUCAÚ AÇÚCAR E ETANOL S.A.,03794600000248,NORDESTE,Pernambuco,RIO FORMOSO,300,600
09/2024,CRV INDUSTRIAL LTDA,03937452000192,CENTRO OESTE,Goiás,CARMO DO RIO VERDE,150,440
09/2024,CRV INDUSTRIAL LTDA,03937452000435,SUDESTE,Minas Gerais,CAPINOPOLIS,400,650
09/2024,AGROPECUARIA NOVO MILENIO LTDA,04165520000105,CENTRO OESTE,Mato Grosso,LAMBARI D'OESTE,470,770
09/2024,AGROPECUARIA NOVO MILENIO LTDA,04165520000296,CENTRO OESTE,Mato Grosso,MIRASSOL D'OESTE,0,590
09/2024,CENTRAL ENERGÉTICA MORENO DE MONTE APRAZÍVEL AÇÚCAR E ALCÓOL LTDA.,04171382000177,SUDESTE,São Paulo,MONTE APRAZIVEL,820,900
09/2024,ONDA VERDE AGROCOMERCIAL S/A,04248044000277,SUDESTE,São Paulo,ONDA VERDE,120,350
09/2024,USINA SANTA MARIA LTDA,04588246000187,NORDESTE,Bahia,MEDEIROS NETO,450,1200
09/2024,IBÉRIA INDUSTRIAL E COMERCIAL LTDA. - EM RECUPERAÇÃO JUDICIAL,04839268000253,SUDESTE,São Paulo,BORA,160,480
09/2024,USINA BELA VISTA S/A,04969941000199,SUDESTE,São Paulo,PONTAL,1000,820
09/2024,CENTRAL ACUCAREIRA USINA SANTA MARIA S/A.,05158542000291,NORDESTE,Alagoas,PORTO CALVO,180,240
09/2024,USINA VERTENTE LTDA.,05242560000176,SUDESTE,São Paulo,GUARACI,325,880
09/2024,COMVAP ACUCAR E ALCOOL LTDA,05343207000182,NORDESTE,Piauí,UNIAO,260,360
09/2024,PAGRISA PARA PASTORIL E AGRICOLA S/A,05459177000174,NORTE,Pará,ULIANOPOLIS,260,340
09/2024,COOPERATIVA AGROINDUSTRIAL DO ESTADO DO RIO DE JANEIRO LTDA.,05500757000168,SUDESTE,Rio de Janeiro,CAMPOS DOS GOYTACAZES,0,250
09/2024,OUROESTE BIOENERGIA LTDA,05553456000100,SUDESTE,São Paulo,OUROESTE,500,500
09/2024,ATVOS BIOENERGIA ELDORADO S.A,05620523000235,CENTRO OESTE,Mato Grosso do Sul,RIO BRILHANTE,750,1700
09/2024,ÁLCOOL QUÍMICA CANABRAVA S.A. EM RECUPERAÇÃO JUDICIAL,05627254000158,SUDESTE,Rio de Janeiro,CAMPOS DOS GOYTACAZES,0,600
09/2024,ENERGETICA SERRANOPOLIS LTDA,05643160000172,CENTRO OESTE,Goiás,SERRANOPOLIS,140,500
09/2024,AGROPECUARIA JAYORO LTDA,05827977000109,NORTE,Amazonas,PRESIDENTE FIGUEIREDO,0,250
09/2024,COPLASA - AÇUCAR E ALCOOL LTDA.,05928246000141,SUDESTE,São Paulo,PLANALTO,1100,1200
09/2024,VALE DO PARANA S/A - ALCOOL E ACUCAR,05938884000143,SUDESTE,São Paulo,SUZANAPOLIS,500,1070
09/2024,SANTA JULIANA BIOENERGIA LTDA.,05980986000127,SUDESTE,Minas Gerais,SANTA JULIANA,700,1200
09/2024,SADA BIO-ENERGIA E AGRICULTURA LTDA,06044698000808,SUDESTE,Minas Gerais,JAIBA,0,600
09/2024,SANTA MARIA INDUSTRIA DE ALCOOL LTDA,06046699000107,SUDESTE,São Paulo,MANDURI,0,190
09/2024,ITAPAGIPE BIOENERGIA LTDA.,06059962000100,SUDESTE,Minas Gerais,ITAPAGIPE,0,450
09/2024,ITAJUBARA S/A ACUCAR E ALCOOL,06110605000111,NORDESTE,Maranhão,COELHO NETO,370,400
09/2024,ABENGOA BIOENERGIA AGROINDUSTRIA LTDA - EM RECUPERACAO JUDICIAL,06252818003799,SUDESTE,São Paulo,SAO JOAO DA BOA VISTA,0,780
09/2024,"D'PADUA - DESTILACAO, PRODUCAO, AGROINDUSTRIA E COMERCIO S/A",06312488000179,NORDESTE,Paraíba,RIO TINTO,330,345
09/2024,COFCO INTERNATIONAL BRASIL S.A.,06315338002324,SUDESTE,São Paulo,SEBASTIANOPOLIS DO SUL,600,1400
09/2024,COFCO INTERNATIONAL BRASIL S.A.,06315338002405,SUDESTE,São Paulo,MERIDIANO,630,1220
09/2024,COFCO INTERNATIONAL BRASIL S.A.,06315338015060,SUDESTE,São Paulo,POTIRENDABA,500,500
09/2024,COFCO INTERNATIONAL BRASIL S.A.,06315338015140,SUDESTE,São Paulo,CATANDUVA,750,1200
09/2024,USINA TERMO ELETRICA IOLANDO LEITE LTDA,06941800000193,NORDESTE,Sergipe,CAPELA,0,150
09/2024,MAITY BIOENERGIA LTDA.,07007398000218,NORDESTE,Maranhão,CAMPESTRE DO MARANHAO,220,300
09/2024,CENTRAL ENERGETICA MORRINHOS SA,07130855000186,CENTRO OESTE,Goiás,MORRINHOS,0,400
09/2024,IPIRANGA AGROINDUSTRIAL S.A.,07280328000158,SUDESTE,São Paulo,IACANGA,700,950
09/2024,IPIRANGA AGROINDUSTRIAL S.A.,07280328001715,SUDESTE,São Paulo,MOCOCA,350,700
09/2024,IPIRANGA AGROINDUSTRIAL S.A.,07280328001804,SUDESTE,São Paulo,DESCALVADO,0,450
09/2024,ATVOS BIOENERGIA CONQUISTA DO PONTAL S. A.,07298800000180,SUDESTE,São Paulo,MIRANTE DO PARANAPANEMA,0,1400
09/2024,USINA NOVA GALIA LTDA,07300906000170,CENTRO OESTE,Goiás,PARAUNA,600,2000
09/2024,GUARIROBA BIOENERGIA LTDA,07398533000112,SUDESTE,São Paulo,PONTES GESTAL,0,500
09/2024,AGRO INDUSTRIAL CAMPO LINDO LTDA - EM RECUPERACAO JUDICIAL,07454414000130,NORDESTE,Sergipe,NOSSA SENHORA DAS DORES,500,600
09/2024,FRUTAL BIOENERGIA LTDA.,07455944000100,SUDESTE,Minas Gerais,FRUTAL,440,500
09/2024,ATENA - TECNOLOGIAS EM ENERGIA NATURAL LTDA.,07458537000149,SUDESTE,São Paulo,MARTINOPOLIS,0,300
09/2024,DESTILARIA VALE DO PARACATU - AGROENERGIA S.A.,07459492000127,SUDESTE,Minas Gerais,PARACATU,700,700
09/2024,AGRO INDUSTRIAL CAPELA LTDA,07461344000147,NORDESTE,Sergipe,CAPELA,0,200
09/2024,ALCOOL VERDE S/A,07591836000157,NORTE,Acre,CAPIXABA,0,140
09/2024,USIMAT DESTILARIA DE ALCOOL LTDA,07670089000142,CENTRO OESTE,Mato Grosso,CAMPOS DE JULIO,1180,1290
09/2024,USINA UBERABA S/A,07674341000191,SUDESTE,Minas Gerais,UBERABA,1000,1700
09/2024,DESTILARIA NOVA ERA LTDA.,07736245000120,SUDESTE,São Paulo,IBATE,28,85
09/2024,CEREALE BRASIL AGROINDUSTRIAL LTDA,07825834000185,SUDESTE,São Paulo,DOIS CORREGOS,0,60
09/2024,CENTRAL ENERGETICA VICENTINA LTDA,07863768000138,CENTRO OESTE,Mato Grosso do Sul,VICENTINA,0,585
09/2024,IACO AGRICOLA S/A,07895728000682,CENTRO OESTE,Mato Grosso do Sul,PARAISO DAS AGUAS,650,2100
09/2024,ADECOAGRO VALE DO IVINHEMA S.A.,07903169000109,CENTRO OESTE,Mato Grosso do Sul,ANGELICA,1200,1500
09/2024,ADECOAGRO VALE DO IVINHEMA S.A.,07903169001768,CENTRO OESTE,Mato Grosso do Sul,IVINHEMA,600,1900
09/2024,USINA LAGUNA - ALCOOL E ACUCAR LTDA,07912062000119,CENTRO OESTE,Mato Grosso do Sul,BATAYPORA,0,750
09/2024,BAMBUI BIOENERGIA S.A.,07930999000206,SUDESTE,Minas Gerais,BAMBUI,0,1100
09/2024,USINA SERRA DO CAIAPO S.A.,07959708000113,CENTRO OESTE,Goiás,MONTIVIDIU,200,400
09/2024,PARAPUA AGROINDUSTRIAL S/A,07969961000239,SUDESTE,São Paulo,PARAPUA,150,400
09/2024,SANTA VITORIA ACUCAR E ALCOOL LTDA,07981751000185,SUDESTE,Minas Gerais,SANTA VITORIA,0,1200
09/2024,CACU COMERCIO E INDUSTRIA DE ACUCAR E ALCOOL LTDA,07996345000196,CENTRO OESTE,Goiás,VICENTINOPOLIS,0,1200
09/2024,FLORESTA S/A ACUCAR E ALCOOL,08048772000105,CENTRO OESTE,Goiás,SANTO ANTONIO DA BARRA,550,880
09/2024,USINA CERRADAO LTDA,08056257000177,SUDESTE,Minas Gerais,FRUTAL,550,1400
09/2024,VALE DO PONTAL ACUCAR E ETANOL LTDA.,08057019000186,SUDESTE,Minas Gerais,LIMEIRA DO OESTE,600,750
09/2024,RAIZEN ENERGIA S.A,08070508000330,SUDESTE,São Paulo,BARRA BONITA,1710,2200
09/2024,RAIZEN ENERGIA S.A,08070508006532,SUDESTE,São Paulo,GUARIBA,550,2020
09/2024,RAIZEN ENERGIA S.A,08070508006613,SUDESTE,São Paulo,ARACATUBA,250,500
09/2024,RAIZEN ENERGIA S.A,08070508006702,SUDESTE,São Paulo,VALPARAISO,320,720
09/2024,RAIZEN ENERGIA S.A,08070508006885,SUDESTE,São Paulo,ANDRADINA,1330,1440
09/2024,RAIZEN ENERGIA S.A,08070508006966,SUDESTE,São Paulo,IPAUSSU,400,400
09/2024,RAIZEN ENERGIA S.A,08070508007261,SUDESTE,São Paulo,DOIS CORREGOS,185,430
09/2024,RAIZEN ENERGIA S.A,08070508008314,SUDESTE,São Paulo,BENTO DE ABREU,285,350
09/2024,RAIZEN ENERGIA S.A,08070508009477,SUDESTE,São Paulo,RIO DAS PEDRAS,250,370
09/2024,RAIZEN ENERGIA S.A,08070508009558,SUDESTE,São Paulo,JAU,160,550
09/2024,RAIZEN ENERGIA S.A,08070508009710,SUDESTE,São Paulo,MIRANDOPOLIS,0,360
09/2024,RAIZEN ENERGIA S.A,08070508012001,SUDESTE,São Paulo,CAPIVARI,0,320
09/2024,RAIZEN ENERGIA S.A,08070508012184,SUDESTE,São Paulo,PIRACICABA,865,1416
09/2024,RAIZEN ENERGIA S.A,08070508012265,SUDESTE,São Paulo,RAFARD,370,400
09/2024,RAIZEN ENERGIA S.A,08070508012427,SUDESTE,São Paulo,IGARAPAVA,750,970
09/2024,RAIZEN ENERGIA S.A,08070508012508,SUDESTE,São Paulo,IBATE,80,350
09/2024,RAIZEN ENERGIA S.A,08070508015795,SUDESTE,São Paulo,BOCAINA,600,750
09/2024,RAIZEN ENERGIA S.A,08070508015876,SUDESTE,São Paulo,BROTAS,0,625
09/2024,RAIZEN ENERGIA S.A,08070508016414,SUDESTE,São Paulo,ARARAQUARA,400,620
09/2024,RAIZEN ENERGIA S.A,08070508016767,CENTRO OESTE,Goiás,JATAI,0,2400
09/2024,ATVOS BIOENERGIA BRENCO S.A.,08070566001173,CENTRO OESTE,Goiás,PEROLANDIA,0,1700
09/2024,ATVOS BIOENERGIA BRENCO S.A.,08070566001254,CENTRO OESTE,Goiás,MINEIROS,1500,1700
09/2024,ATVOS BIOENERGIA BRENCO S.A.,08070566001688,CENTRO OESTE,Mato Grosso do Sul,COSTA RICA,750,1700
09/2024,ATVOS BIOENERGIA BRENCO S.A.,08070566001769,CENTRO OESTE,Mato Grosso,ALTO TAQUARI,1500,1700
09/2024,DA MATA S.A. - ACUCAR E ALCOOL,08110543000173,SUDESTE,São Paulo,VALPARAISO,800,1000
09/2024,ITUIUTABA BIOENERGIA LTDA.,08164344000148,SUDESTE,Minas Gerais,ITUIUTABA,800,900
09/2024,TROPICAL BIOENERGIA S.A.,08195806000194,CENTRO OESTE,Goiás,EDEIA,1600,2100
09/2024,ITUMBIARA ENERGETICA LTDA.,08312527000163,CENTRO OESTE,Goiás,ITUMBIARA,0,150
09/2024,CERRADINHO BIOENERGIA S.A.,08322396000103,CENTRO OESTE,Goiás,CHAPADAO DO CEU,0,2800
09/2024,BIOENERGETICA AROEIRA S.A.,08355201000113,SUDESTE,Minas Gerais,TUPACIGUARA,550,744
09/2024,FIGUEIRA INDUSTRIA E COMERCIO S/A - EM RECUPERACAO JUDICIAL,08391345000397,SUDESTE,São Paulo,ARACATUBA,450,700
09/2024,VALE DO TIJUCO ACUCAR E ALCOOL S.A.,08493354000127,SUDESTE,Minas Gerais,UBERABA,800,1250
09/2024,ITUMBIARA BIOENERGIA S.A.,08517600000133,CENTRO OESTE,Goiás,ITUMBIARA,800,900
09/2024,ATVOS BIOENERGIA RIO CLARO S.A.,08598391000108,CENTRO OESTE,Goiás,CACU,1200,1800
09/2024,USINA RIO PARDO S.A. EM RECUPERACAO JUDICIAL,08657268000102,SUDESTE,São Paulo,CERQUEIRA CESAR,0,550
09/2024,USINA PANORAMA S/A,08704527000109,CENTRO OESTE,Goiás,ITUMBIARA,400,600
09/2024,BIOENERGETICA VALE DO PARACATU SA,08793343000162,SUDESTE,Minas Gerais,JOAO PINHEIRO,600,1000
09/2024,FATIMA DO SUL AGRO-ENERGETICA S/A - ALCOOL E ACUCAR,08830263000130,CENTRO OESTE,Mato Grosso do Sul,FATIMA DO SUL,500,900
09/2024,ATVOS BIOENERGIA SANTA LUZIA S.A,08906558000142,CENTRO OESTE,Mato Grosso do Sul,NOVA ALVORADA DO SUL,900,2700
09/2024,COMPANHIA USINA SAO JOAO,08974214000170,NORDESTE,Paraíba,SANTA RITA,100,200
09/2024,CAMBUI ACUCAR E ALCOOL LTDA,09022388000104,CENTRO OESTE,Goiás,SANTA HELENA DE GOIAS,650,1480
09/2024,AGRO INDUSTRIAL TABU S.A,09053646000101,NORDESTE,Paraíba,CAAPORA,220,350
09/2024,PEDRO AFONSO BIOENERGIA LTDA,09067572000162,NORTE,Tocantins,PEDRO AFONSO,750,1500
09/2024,EBER BIO-ENERGIA E AGRICULTURA LTDA,09075242000119,CENTRO OESTE,Goiás,MONTES CLAROS DE GOIAS,0,400
09/2024,MIRIRI ALIMENTOS E BIOENERGIA S/A.,09090259000145,NORDESTE,Paraíba,SANTA RITA,540,660
09/2024,USINA MONTE ALEGRE SA,09094632000217,NORDESTE,Paraíba,MAMANGUAPE,180,250
09/2024,JAPUNGU AGROINDUSTRIAL LTDA,09357997000106,NORDESTE,Paraíba,SANTA RITA,600,700
09/2024,RAIZEN CAARAPO ACUCAR E ALCOOL LTDA,09538989000166,CENTRO OESTE,Mato Grosso do Sul,CAARAPO,1540,2100
09/2024,RAIZEN CAARAPO ACUCAR E ALCOOL LTDA,09538989000409,SUDESTE,São Paulo,PARAGUACU PAULISTA,580,480
09/2024,RAIZEN CAARAPO ACUCAR E ALCOOL LTDA,09538989000670,SUDESTE,São Paulo,MARACAI,690,635
09/2024,RAIZEN CAARAPO ACUCAR E ALCOOL LTDA,09538989000751,SUDESTE,São Paulo,TARUMA,760,1040
09/2024,TRIO COMERCIO DE ACUCAR E LOGISTICA LTDA,09602407000406,SUL,Rio Grande do Sul,NOVA SANTA RITA,0,1
09/2024,USINA UNIAO E INDUSTRIA SA,10204485000199,NORDESTE,Pernambuco,PRIMAVERA,100,200
09/2024,SJC BIOENERGIA LTDA,10249419000216,CENTRO OESTE,Goiás,QUIRINOPOLIS,350,1505
09/2024,SJC BIOENERGIA LTDA,10249419000305,CENTRO OESTE,Goiás,CACHOEIRA DOURADA,1470,1550
09/2024,COOPERATIVA DO AGRONEGOCIO DA CANA-DE-ACUCAR - AGROCAN,10258246000200,NORDESTE,Pernambuco,JOAQUIM NABUCO,280,400
09/2024,USINA SAO JOSE S/A,10362820000187,NORDESTE,Pernambuco,IGARASSU,90,240
09/2024,USINA IPOJUCA S/A,10384022000318,NORDESTE,Pernambuco,IPOJUCA,100,150
09/2024,DESTILARIA VEREDAS INDUSTRIA DE ACUCAR E ALCOOL LTDA,10452413000160,SUDESTE,Minas Gerais,JOAO PINHEIRO,300,396
09/2024,USINA PETRIBU SA,10645075000183,NORDESTE,Pernambuco,LAGOA DE ITAENGA,200,220
09/2024,USINA TRAPICHE S/A,10820645000124,NORDESTE,Pernambuco,SIRINHAEM,192,198
09/2024,USINA AYSÚ LTDA.,10921675000127,CENTRO OESTE,Mato Grosso,SORRISO,0,100
09/2024,AGRO SERRA INDUSTRIAL LTDA,11035672000159,NORDESTE,Maranhão,SAO RAIMUNDO DAS MANGABEIRAS,580,800
09/2024,BOM SUCESSO AGROINDUSTRIA S.A.,11092881000134,CENTRO OESTE,Goiás,GOIATUBA,1200,2100
09/2024,COOPERATIVA DO AGRONEGOCIO DOS ASSOCIADOS DA ASSOCIACAO DOS FORNECEDORES DE CANA-DE-ACUCAR,11169030000223,NORDESTE,Pernambuco,TIMBAUBA,190,330
09/2024,CIA AGROPASTORIL VALE DA PIRAGIBA,11486255000203,NORDESTE,Bahia,MUQUEM DE SAO FRANCISCO,0,350
09/2024,"PORTO SEGURO NEGOCIOS, EMPREENDIMENTOS E PARTICIPACOES SA",11689292000219,CENTRO OESTE,Mato Grosso,JACIARA,240,480
09/2024,COMPANHIA ALCOOLQUIMICA NACIONAL-ALCOOLQUIMICA,11699378000737,NORDESTE,Pernambuco,VITORIA DE SANTO ANTAO,280,550
09/2024,USINA CENTRAL OLHO D'AGUA S/A,11797222000101,NORDESTE,Pernambuco,CAMUTANGA,170,250
09/2024,TIMBRO TRADING S.A.,12116971001152,SUL,Rio Grande do Sul,SAO GABRIEL,0,1
09/2024,INDUSTRIAL PORTO RICO S A - EM RECUPERACAO JUDICIAL,12217832000224,NORDESTE,Alagoas,CAMPO ALEGRE,190,420
09/2024,S A USINA CORURIPE ACUCAR E ALCOOL,12229415000200,NORDESTE,Alagoas,CORURIPE,350,430
09/2024,S A USINA CORURIPE ACUCAR E ALCOOL,12229415001001,SUDESTE,Minas Gerais,ITURAMA,650,700
09/2024,S A USINA CORURIPE ACUCAR E ALCOOL,12229415001435,SUDESTE,Minas Gerais,CAMPO FLORIDO,850,900
09/2024,S A USINA CORURIPE ACUCAR E ALCOOL,12229415001605,SUDESTE,Minas Gerais,LIMEIRA DO OESTE,350,650
09/2024,COOPERATIVA DE COLONIZACAO AGROPECUARIA E INDUSTRIAL PINDORAMA LTDA,12229753000152,NORDESTE,Alagoas,CORURIPE,160,340
09/2024,USINA CANSANCAO DE SINIMBU SA - EM RECUPERACAO JUDICIAL,12272498000201,NORDESTE,Alagoas,JEQUIA DA PRAIA,180,240
09/2024,UTINGA AÇÚCAR E ETANOL S.A.,12275715000136,NORDESTE,Alagoas,RIO LARGO,350,450
09/2024,USINA CAETE S A,12282034000286,NORDESTE,Alagoas,SAO MIGUEL DOS CAMPOS,320,500
09/2024,USINA CAETE S A,12282034000367,NORDESTE,Alagoas,IGREJA NOVA,210,270
09/2024,USINA CAETE S A,12282034000600,NORDESTE,Alagoas,MACEIO,130,220
09/2024,USINA CAETE S A,12282034001762,SUDESTE,São Paulo,PAULICEIA,550,1200
09/2024,COMPANHIA ACUCAREIRA CENTRAL SUMAUMA - EM RECUPERACAO JUDICIAL,12478095000132,NORDESTE,Alagoas,MARECHAL DEODORO,120,150
09/2024,USINA SANTA CLOTILDE S/A - EM RECUPERACAO JUDICIAL EM RECUPERACAO JUDICIAL,12607842000195,NORDESTE,Alagoas,RIO LARGO,90,180
09/2024,USINA SERRA GRANDE SA,12706289000148,NORDESTE,Alagoas,SAO JOSE DA LAJE,180,190
09/2024,CENTRAL ACUCAREIRA SANTO ANTONIO S A,12718011000190,NORDESTE,Alagoas,SAO LUIS DO QUITUNDE,310,505
09/2024,TRIUNFO AGROINDUSTRIAL LTDA - EM RECUPERACAO JUDICIAL EM RECUPERACAO JUDICIAL,12733937000155,NORDESTE,Alagoas,BOCA DA MATA,300,330
09/2024,USINA SAO JOSE DO PINHEIRO LTDA,13324215000100,NORDESTE,Sergipe,LARANJEIRAS,150,180
09/2024,DELTA SUCROENERGIA S.A.,13537735000281,SUDESTE,Minas Gerais,CONCEICAO DAS ALAGOAS,1100,1500
09/2024,DELTA SUCROENERGIA S.A.,13537735000362,SUDESTE,Minas Gerais,DELTA,180,1000
09/2024,AGRO INDUSTRIAS DO VALE DO SAO FRANCISCO SA AGROVALE,13642699000135,NORDESTE,Bahia,JUAZEIRO,600,700
09/2024,BIOFLEX AGROINDUSTRIAL S.A.,13808130000288,NORDESTE,Alagoas,SAO MIGUEL DOS CAMPOS,228,228
09/2024,USINAS ITAMARATI S/A,15009178000170,CENTRO OESTE,Mato Grosso,NOVA OLIMPIA,1460,1565
09/2024,COOPERATIVA AGR PROD CANA DE CAMPO NOVO DO PARECIS LTDA,15043391000107,CENTRO OESTE,Mato Grosso,CAMPO NOVO DO PARECIS,600,1670
09/2024,ALCOOLVALE S/A ALCOOL E ACUCAR - EM RECUPERACAO JUDICIAL,15444904000183,CENTRO OESTE,Mato Grosso do Sul,APARECIDA DO TABOADO,0,380
09/2024,RAÍZEN CENTRO-SUL S.A.,15527906000721,CENTRO OESTE,Mato Grosso do Sul,RIO BRILHANTE,750,950
09/2024,RAÍZEN CENTRO-SUL S.A.,15527906002937,SUDESTE,Minas Gerais,LAGOA DA PRATA,1000,1100
09/2024,RAÍZEN CENTRO-SUL S.A.,15527906003585,CENTRO OESTE,Mato Grosso do Sul,RIO BRILHANTE,1000,1100
09/2024,RAÍZEN CENTRO-SUL S.A.,15527906003666,SUDESTE,São Paulo,LEME,300,510
09/2024,AGROPEU-AGRO INDUSTRIAL DE POMPEU S/A,16617789000164,SUDESTE,Minas Gerais,POMPEU,420,450
09/2024,DAMFI - DESTILARIA ANTONIO MONTI FILHO EIRELI,17869587000172,SUDESTE,Minas Gerais,CANAPOLIS,0,198
09/2024,DASA- DESTILARIA DE ALCOOL SERRA DOS AIMORES S/A,18054379000188,SUDESTE,Minas Gerais,SERRA DOS AIMORES,150,500
09/2024,U.S.A. - USINA SANTO ANGELO LTDA,19537471000161,SUDESTE,Minas Gerais,PIRAJUBA,580,1000
09/2024,DESTILARIA CACHOEIRA LTDA,19680743000188,SUDESTE,Minas Gerais,TUPACIGUARA,0,120
09/2024,ARAPORA BIOENERGIA S/A,19818301000155,SUDESTE,Minas Gerais,ARAPORA,500,500
09/2024,FS INDÚSTRIA DE BIOCOMBUSTÍVEIS LTDA.,20003699000150,CENTRO OESTE,Mato Grosso,LUCAS DO RIO VERDE,1650,1716
09/2024,FS INDÚSTRIA DE BIOCOMBUSTÍVEIS LTDA.,20003699000231,CENTRO OESTE,Mato Grosso,SORRISO,2962,3169
09/2024,CANEX BIOENERGIA LTDA,20058453000186,SUL,Rio Grande do Sul,SAO VICENTE DO SUL,0,1
09/2024,CEARA-MIRIM AGROINDUSTRIAL S.A.,20809373000115,NORDESTE,Rio Grande do Norte,CEARA-MIRIM,0,240
09/2024,DESTILARIA RIO DO CACHIMBO LTDA,21783238000100,SUDESTE,Minas Gerais,JOAO PINHEIRO,0,300
09/2024,USINA MONTE ALEGRE LTDA,22587687000146,SUDESTE,Minas Gerais,MONTE BELO,0,350
09/2024,DESTILLA BIOENERGIA AGROINDUSTRIAL LTDA.,23393856000170,CENTRO OESTE,Mato Grosso,ITAUBA,0,5
09/2024,COMPANHIA AGRICOLA PONTENOVENSE,23796998000188,SUDESTE,Minas Gerais,URUCANIA,150,200
09/2024,RIO AMAMBAI AGROENERGIA S.A,23858708000183,CENTRO OESTE,Mato Grosso do Sul,NAVIRAI,270,1200
09/2024,ALD BIOENERGIA DECIOLANDIA SA,23887964000107,CENTRO OESTE,Mato Grosso,NOVA MARILANDIA,0,500
09/2024,BAHIA ETANOL HOLDING S.A,24870441000293,NORDESTE,Bahia,IBIRAPUA,250,650
09/2024,CLARION S/A AGROINDUSTRIAL EM RECUPERACAO JUDICIAL,24956666000267,SUL,Paraná,IBAITI,500,620
09/2024,GEM AGROINDUSTRIAL E COMERCIAL LTDA,25006271000185,CENTRO OESTE,Goiás,ACREUNA,0,330
09/2024,SAFRAS INDUSTRIA E COMERCIO DE BIOCOMBUSTIVEIS LTDA,25242466000124,CENTRO OESTE,Mato Grosso,SORRISO,0,95
09/2024,LASA LINHARES AGROINDUSTRIAL SA,27291400000150,SUDESTE,Espírito Santo,LINHARES,300,400
09/2024,USINA PAINEIRAS SOCIEDADE ANONIMA,27777903000130,SUDESTE,Espírito Santo,ITAPEMIRIM,308,324
09/2024,DESTILARIA IPANEMA LTDA,27951210000111,SUDESTE,São Paulo,BARBOSA,0,100
09/2024,CANAPOLIS ACUCAR E ETANOL S.A,28144326000101,SUDESTE,Minas Gerais,CANAPOLIS,300,750
09/2024,IMPACTO BIOENERGIA ALAGOAS S.A,28620879000193,NORDESTE,Alagoas,TEOTONIO VILELA,110,250
09/2024,AGRISA AGROINDUSTRIAL SÃO JOÃO S/A,28851889000210,SUDESTE,Rio de Janeiro,CABO FRIO,240,270
09/2024,MINAS BIOENERGIA LTDA,29116635000130,SUDESTE,Minas Gerais,PIUMHI,0,1
09/2024,USINA DE ALCOOL TRES IRMAOS LTDA,29204243000123,CENTRO OESTE,Mato Grosso,IPIRANGA DO NORTE,0,60
09/2024,INPASA AGROINDUSTRIAL S/A,29316596000115,CENTRO OESTE,Mato Grosso,SINOP,6000,6000
09/2024,INPASA AGROINDUSTRIAL S/A,29316596000204,CENTRO OESTE,Mato Grosso do Sul,DOURADOS,3000,3000
09/2024,INPASA AGROINDUSTRIAL S/A,29316596000468,CENTRO OESTE,Mato Grosso,NOVA MUTUM,1500,3000
09/2024,ALCON-COMPANHIA DE ALCOOL CONCEICAO DA BARRA,30974737000176,SUDESTE,Espírito Santo,CONCEICAO DA BARRA,300,470
09/2024,"USINA CENTRAL MATA SUL, INDUSTRIA E COMERCIO DE ACUCAR E ALCOOL LTDA",31059324000129,NORDESTE,Pernambuco,CABO DE SANTO AGOSTINHO,130,150
09/2024,USINA GIASA LTDA,31093639000192,NORDESTE,Paraíba,PEDRAS DE FOGO,500,800
09/2024,USINA ESTIVAS LTDA,31168247000145,NORDESTE,Rio Grande do Norte,AREZ,120,300
09/2024,FERMAP INDÚSTRIA DE ÁLCOOL LTDA.,31987903000131,CENTRO OESTE,Mato Grosso,IPIRANGA DO NORTE,0,63
09/2024,INDÚSTRIA E COMERCIO DESTILARAIA MANTO AZUL LTDA,32765581000149,CENTRO OESTE,Mato Grosso,PRIMAVERA DO LESTE,0,12
